 Produção Ambulatorial do SUS - Maranhão - por local de residência
Qtd.aprovada por Procedimento e Ano/mês processamento
Município: 210900 Porto Franco
Período:Jan-Abr/2021
"Procedimento";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"0101020104 ORIENTAÇÃO DE HIGIENE BUCAL";-;-;3;-;3
"0202010210 DOSAGEM DE CALCIO";14;14;16;17;61
"0202010295 DOSAGEM DE COLESTEROL TOTAL";-;-;1;-;1
"0202010317 DOSAGEM DE CREATININA";14;15;21;18;68
"0202010384 DOSAGEM DE FERRITINA";14;-;2;18;34
"0202010392 DOSAGEM DE FERRO SERICO";14;-;2;17;33
"0202010422 DOSAGEM DE FOSFATASE ALCALINA";-;15;-;-;15
"0202010430 DOSAGEM DE FOSFORO";14;14;16;17;61
"0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)";-;1;-;-;1
"0202010473 DOSAGEM DE GLICOSE";1;2;4;4;11
"0202010600 DOSAGEM DE POTASSIO";14;14;16;17;61
"0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES";-;8;-;-;8
"0202010635 DOSAGEM DE SODIO";13;15;15;17;60
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";-;1;-;-;1
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";14;15;16;17;62
"0202010660 DOSAGEM DE TRANSFERRINA";13;-;1;15;29
"0202010678 DOSAGEM DE TRIGLICERIDEOS";-;-;1;-;1
"0202010694 DOSAGEM DE UREIA";27;29;33;33;122
"0202020304 DOSAGEM DE HEMOGLOBINA";9;14;16;17;56
"0202020371 HEMATOCRITO";9;14;16;17;56
"0202020380 HEMOGRAMA COMPLETO";5;1;5;2;13
"0202030024 CONTAGEM DE LINFOCITOS CD4/CD8";-;-;-;2;2
"0202030202 DOSAGEM DE PROTEINA C REATIVA";-;-;-;1;1
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";1;-;2;2;5
